Measure Mode: wall_time
Thread ID: 69917501084600
Fiber ID: 69917530404360
Total: 54.721102
Sort by: self_time

 %self      total      self      wait     child     calls  name
 19.17     19.015    10.492     8.524     0.000     6000   IO#gets
  0.06      0.033     0.033     0.000     0.000    42746   Module#===
  0.06      5.340     0.032     0.000     5.308     1000   Object#create_item_from_file
  0.06      0.034     0.030     0.000     0.004     2002  *ActiveRecord::ModelSchema::ClassMethods#inheritance_column
  0.05      0.042     0.029     0.000     0.012     7021   MonitorMixin#mon_enter
  0.05     26.394     0.028     0.000    26.366     3103   Timeout#timeout
  0.05     28.302     0.028     0.000    28.274     1000   Stomp::Connection#initialize
  0.05      0.050     0.028     0.000     0.022     7021   MonitorMixin#mon_exit
  0.05      0.149     0.028     0.000     0.122     1002   <Class::ActiveRecord::ConnectionAdapters::PostgreSQLColumn>#string_to_time
  0.05      0.498     0.028     0.000     0.470     3009   ActiveSupport::TaggedLogging#add
  0.05      0.027     0.027     0.000     0.000    35156   Kernel#nil?
  0.05      0.906     0.027     0.000     0.879     4472  *Exception#set_backtrace
  0.05      0.027     0.027     0.000     0.000     7874   String#split
  0.05      0.066     0.027     0.000     0.039    16312   Kernel#dup
  0.05      0.027     0.027     0.000     0.000    28959   Kernel#is_a?
  0.05      0.130     0.027     0.000     0.103     3009   Formatter#call
  0.05      0.115     0.027     0.000     0.088     1000   Stomp::Message#initialize
  0.05      5.601     0.027     0.000     5.574     1000   Object#ingest_rdf_file
  0.05      2.429     0.026     0.000     2.402     2011  *NewRelic::Agent::MethodTracerHelpers#trace_execution_scoped
  0.05      0.026     0.026     0.000     0.000     6258   Hash#initialize_copy
  0.05      0.025     0.025     0.000     0.000    46146   <Class::Thread>#current
  0.05      0.067     0.025     0.000     0.042     2114   NewRelic::Agent::TracedMethodStack#push_frame
  0.05      0.852     0.025     0.000     0.827     1118   BindingOfCaller::BindingExtensions#callers
  0.05      0.035     0.025     0.000     0.010    13380   Time#initialize
  0.04      0.024     0.024     0.000     0.000     2002   Kernel#method
  0.04      0.024     0.024     0.000     0.000    19158   String#intern
  0.04      0.025     0.023     0.000     0.002     3013   Array#-
  0.04      0.309     0.023     0.000     0.286     1009   ActiveSupport::LogSubscriber#call
  0.04      0.114     0.023     0.000     0.091     1002   <Class::ActiveRecord::ConnectionAdapters::Column>#fast_string_to_time
  0.04      0.023     0.023     0.000     0.000    35420   RubyVM::DebugInspector#frame_iseq
  0.04      0.285     0.023     0.000     0.262     4022   NewRelic::Agent::MethodTracerHelpers#log_errors
  0.04      0.023     0.023     0.000     0.000    20838   Thread#[]
  0.04      0.419     0.022     0.000     0.397     3009   Logger#add
  0.04      0.022     0.022     0.000     0.000      103   Kernel#methods
  0.04      1.117     0.022     0.000     1.095     1009   ActiveSupport::Notifications::Instrumenter#instrument
  0.04      0.021     0.021     0.000     0.000     1002   <Class::ActiveRecord::Base>#lock_optimistically
  0.04      0.224     0.021     0.000     0.203     1009   ActiveRecord::LogSubscriber#sql
  0.04      0.219     0.021     0.000     0.198     3000   #<Module:0x007f2de7d761c8>#__temp__
  0.04      0.021     0.021     0.000     0.000    15836   String#strip
  0.04      0.020     0.020     0.000     0.000     9618   Fixnum#to_s
  0.04      0.020     0.020     0.000     0.000    28110   String#<=>
  0.04      0.050     0.019     0.000     0.031    17434   Kernel#initialize_dup
  0.03      0.019     0.019     0.000     0.000     2002   ActiveRecord::ConnectionAdapters::SchemaCache#columns_hash
  0.03      2.585     0.019     0.000     2.566     1001   ActiveRecord::Relation#exec_queries
  0.03      3.285     0.019     0.000     3.266     1001   ActiveRecord::DynamicMatchers#method_missing
  0.03      0.018     0.018     0.000     0.000     2326   String#=~
  0.03      0.260     0.018     0.000     0.242     1001   Arel::Visitors::ToSql#visit_Arel_Nodes_SelectCore
  0.03      0.018     0.018     0.000     0.000     1103   BasicSocket#setsockopt
  0.03      0.018     0.018     0.000     0.000     5449   NewRelic::Agent::Stats#record_data_point
  0.03      0.038     0.018     0.000     0.020     1000   BasicObject#method_missing
  0.03      0.033     0.018     0.000     0.015    12142   Enumerable#any?
  0.03      0.024     0.017     0.000     0.007     1002   <Class::Time>#utc
  0.03      0.017     0.017     0.000     0.000    24926   Kernel#class
  0.03      2.725     0.017     0.000     2.708     2002  *ActiveRecord::Explain#logging_query_plan
  0.03      0.017     0.017     0.000     0.000     7733   String#to_sym
  0.03      0.016     0.016     0.000     0.000     1002   <Class::ActiveRecord::Base>#default_timezone
  0.03      1.828     0.016     0.004     1.808     1000   Stomp::Connection#disconnect
  0.03      0.180     0.016     0.000     0.164     1001   ActiveRecord::QueryMethods#build_arel
  0.03      0.038     0.015     0.000     0.023     1000   Hash#each_pair
  0.03      0.173     0.015     0.000     0.158     1006   ActiveRecord::Scoping::Named::ClassMethods#scoped
  0.03      0.018     0.014     0.000     0.003     7021   MonitorMixin#mon_check_owner
  0.03      0.039     0.014     0.000     0.025     5457   Hash#[]
  0.03      0.014     0.014     0.000     0.000     9074   NewRelic::Agent::Configuration::Manager#[]
  0.03      0.018     0.014     0.001     0.003     1000   Time#utc
  0.03      0.031     0.014     0.000     0.017     1009   ActiveModel::AttributeMethods#match_attribute_method?
  0.03      0.014     0.014     0.000     0.000     1214   String#%
  0.03      0.032     0.014     0.000     0.018     8028  *ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  0.03      0.018     0.014     0.000     0.004     5449   NewRelic::MetricSpec#initialize
  0.03      0.031     0.014     0.000     0.017     1000   Stomp::Client#check_arguments!
  0.02      0.052     0.014     0.000     0.039     2114   NewRelic::Agent::TracedMethodStack#pop_frame
  0.02      0.013     0.013     0.000     0.000     2236   Exception#initialize
  0.02      0.013     0.013     0.000     0.000     2052   Array#flatten
  0.02      0.053     0.013     0.000     0.040     2002   Arel::Visitors::ToSql#column_for
  0.02      1.542     0.013     0.000     1.529     1009   NewRelic::Agent::Instrumentation::ActiveRecord#log_with_newrelic_instrumentation
  0.02      0.013     0.013     0.000     0.000    12123   Module#name
  0.02      0.018     0.013     0.000     0.005     1007   Array#initialize
  0.02      0.033     0.013     0.000     0.020     5449   NewRelic::Agent::Stats#record
  0.02      0.013     0.013     0.000     0.000     3000   Fixnum#zero?
  0.02      0.022     0.013     0.000     0.009     4002   Fixnum#==
  0.02      3.302     0.013     0.000     3.289     1000   Stomp::Connection#open_socket
  0.02      0.013     0.013     0.000     0.000    18719   String#to_s
  0.02      0.013     0.013     0.000     0.000     4014   <Class::ActiveRecord::Base>#connection_handler
  0.02      0.013     0.013     0.000     0.000    17388   Fixnum#+
  0.02     28.646     0.013     0.000    28.633     1000   Stomp::Client#initialize
  0.02      0.013     0.013     0.000     0.000     3009   Kernel#sprintf
  0.02      0.032     0.013     0.000     0.019     1000   Stomp::Connection#_pre_connect
  0.02      0.035     0.012     0.000     0.022     4228   NewRelic::Agent::TracedMethodStack#sampler_enabled?
  0.02      0.146     0.012     0.000     0.133     1001   ActiveRecord::Base#init_with
  0.02      0.012     0.012     0.000     0.000     6014   <Module::Rails>#logger
  0.02      0.043     0.012     0.000     0.031     3008   Kernel#clone
  0.02      0.029     0.012     0.000     0.017     2024   ActiveSupport::Callbacks::ClassMethods#__callback_runner_name
  0.02      0.130     0.012     0.000     0.118     1000   Stomp::Connection#hashed_initialize
  0.02      0.018     0.012     0.000     0.006     3707   Array#include?
  0.02      0.423     0.012     0.000     0.411     1000   Stomp::Connection#transmit
  0.02      0.012     0.012     0.000     0.000        1   PG::Connection#transaction_status
  0.02      0.012     0.012     0.000     0.000     3000   Stomp::Connection#closed?
  0.02      0.012     0.012     0.000     0.000    12457   String#[]
  0.02      0.077     0.012     0.000     0.065     2002   Arel::Visitors::ToSql#visit_Arel_Attributes_Attribute
  0.02      0.384     0.012     0.000     0.372     2006   ActiveSupport::TaggedLogging#info
  0.02      0.207     0.011     0.000     0.196     1001   ActiveRecord::Inheritance::ClassMethods#instantiate
  0.02      0.119     0.011     0.000     0.107     2007  *ActiveSupport::Callbacks#run_callbacks
  0.02      0.033     0.011     0.000     0.021     1218   <Class::ActiveRecord::DynamicFinderMatch>#match
  0.02      0.011     0.011     0.000     0.000    13560   NilClass#nil?
  0.02      0.126     0.011     0.000     0.115     4012   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
  0.02      0.011     0.011     0.000     0.000    10022   Fixnum#divmod
  0.02      0.199     0.011     0.000     0.188     3009   Logger::LogDevice#write
  0.02      0.108     0.011     0.000     0.097     1000   Stomp::Connection#refine_params
  0.02      0.430     0.011     0.000     0.419     3009   ActiveSupport::BufferedLogger#add
  0.02      2.305     0.011     0.000     2.294     2000   Stomp::Connection#close_socket
  0.02      0.011     0.011     0.000     0.000     1002   String#rindex
  0.02      0.013     0.010     0.000     0.002     3019   <Class::ActiveSupport::Duration>#===
  0.02      2.758     0.010     0.000     2.747     1001   ActiveRecord::FinderMethods#first
  0.02      0.015     0.010     0.000     0.005     4552   <Class::NewRelic::Agent::TransactionState>#tl_state_for
  0.02      0.020     0.010     0.000     0.010     1009   NewRelic::Agent::Instrumentation::ActiveRecordHelper#rollup_metrics_for
  0.02      0.087     0.010     0.000     0.077     3007   Loggable::InstanceMethods#logger
  0.02      0.329     0.010     0.000     0.319    11011  *Arel::Visitors::Visitor#visit
  0.02      0.022     0.010     0.000     0.012     1002   String#to_r
  0.02      0.068     0.010     0.000     0.058     3000   Hash#symbolize_keys
  0.02      0.113     0.010     0.000     0.103     3008   ActiveRecord::AttributeMethods#respond_to?
  0.02      0.070     0.010     0.000     0.060        2   <Module::Kernel>#__load_without_zeus
  0.02      0.039     0.010     0.000     0.029     1001   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#quote
  0.02      0.010     0.010     0.000     0.000     5347   Kernel#Array
  0.02      0.148     0.010     0.000     0.139     4012   <Class::ActiveRecord::Base>#retrieve_connection
  0.02      0.010     0.010     0.000     0.000     3009   Logger#format_severity
  0.02      0.010     0.010     0.000     0.000     2007   <Class::Hash>#[]
  0.02      0.010     0.010     0.000     0.000     4116   Hash#keys
  0.02      0.010     0.010     0.000     0.000     1000   Kernel#proc
  0.02      0.009     0.009     0.000     0.000     2236   UnboundMethod#bind
  0.02      0.316     0.009     0.000     0.307     1001   Arel::Visitors::ToSql#visit_Arel_Nodes_SelectStatement
  0.02      0.028     0.009     0.000     0.019     4552   <Class::NewRelic::Agent::TransactionState>#tl_get
  0.02      0.018     0.009     0.000     0.009     5459   NewRelic::MetricSpec#hash
  0.02      0.032     0.009     0.000     0.022     3009   ActiveSupport::TaggedLogging#tags_text
  0.02      0.015     0.009     0.000     0.006     1009   NewRelic::Agent::Instrumentation::ActiveRecordHelper#metric_for_name
  0.02      2.878     0.009     0.000     2.869     1001   ActiveRecord::FinderMethods#find_by_attributes
  0.02      0.009     0.009     0.000     0.000    16097   Kernel#hash
  0.02      0.021     0.009     0.000     0.012     1001   ActiveRecord::AttributeMethods::Serialization::ClassMethods#initialize_attributes
  0.02      0.097     0.009     0.000     0.088     2007  *ActiveSupport::Callbacks::ClassMethods#__run_callback
  0.02      0.009     0.009     0.000     0.000     8456   <Class::NewRelic::Agent::Agent>#config
  0.02      0.013     0.009     0.000     0.004     3009   ActiveSupport::TaggedLogging#current_tags
  0.02      0.012     0.009     0.000     0.003     3123   NewRelic::Agent::TransactionState#is_execution_traced?
  0.02      0.009     0.009     0.000     0.000     6542   String#index
  0.02      0.010     0.009     0.000     0.002     1000   Stomp::Connection#change_host
  0.02      0.160     0.008     0.000     0.151     1112   NewRelic::Agent::StatsEngine::MetricStats#record_scoped_and_unscoped_metrics
  0.02      0.013     0.008     0.000     0.005     1505   ActiveSupport::LogSubscriber#color
  0.02      0.008     0.008     0.000     0.000     9129   String#to_i
  0.02      0.009     0.008     0.000     0.001     5266   String#==
  0.02      0.014     0.008     0.000     0.006     1001   Arel::Nodes::SelectCore#initialize
  0.01      0.008     0.008     0.000     0.000    11011   Arel::Visitors::Visitor#dispatch
  0.01      0.048     0.008     0.000     0.040     3019   Time#minus_with_coercion
  0.01      0.075     0.008     0.000     0.067     1006   ActiveRecord::QueryMethods#build_where
  0.01      0.103     0.008     0.000     0.095     2002   ActiveRecord::Delegation#connection
  0.01      0.008     0.008     0.000     0.000     6958   Hash#key?
  0.01      0.022     0.008     0.000     0.014     1001   ActiveRecord::ConnectionAdapters::Quoting#quote
  0.01      0.008     0.008     0.000     0.000     4116   MatchData#[]
  0.01      2.369     0.008     0.000     2.361     1105   <Class::IO>#open
  0.01      0.008     0.008     0.000     0.000     1118   Kernel#binding
  0.01      0.008     0.008     0.000     0.000     1352   String#sub
  0.01      0.039     0.008     0.000     0.031     2002   ActiveRecord::Scoping::Default::ClassMethods#build_default_scope
  0.01      0.014     0.008     0.000     0.006     7249   Numeric#quo
  0.01      0.031     0.008     0.000     0.023     3008   Kernel#initialize_clone
  0.01      0.032     0.008     0.000     0.025     3019   Time#minus_with_duration
  0.01      0.008     0.008     0.000     0.000     5247   Thread#[]=
  0.01      0.008     0.008     0.000     0.000     1001   <Class::File>#basename
  0.01      0.076     0.007     0.000     0.069     3008   ActiveModel::AttributeMethods#respond_to?
  0.01      0.034     0.007     0.000     0.026     1009   ActiveSupport::Notifications::Event#initialize
  0.01      0.035     0.007     0.000     0.028     3000   Hash#symbolize_keys!
  0.01      0.137     0.007     0.000     0.130     3009   Logger#format_message
  0.01      0.009     0.007     0.000     0.002     2114   NewRelic::Agent::TracedMethodStack#note_children_time
  0.01      0.130     0.007     0.000     0.123     1008   ActiveRecord::Relation#initialize
  0.01      0.008     0.007     0.000     0.001     1000   Time#getlocal
  0.01      0.013     0.007     0.000     0.006     1009   NewRelic::Agent::Database#capture_query
  0.01      0.020     0.007     0.000     0.013     1000   NoMethodError#initialize
  0.01      0.341     0.007     0.000     0.334     2018   ActiveSupport::Notifications::Fanout::Subscriber#publish
  0.01      0.007     0.007     0.000     0.000     2007   ActiveRecord::Relation#reset
  0.01      0.013     0.007     0.000     0.006     2006   ActiveRecord::Reflection::ClassMethods#reflect_on_aggregation
  0.01      0.025     0.007     0.000     0.018     1009   NewRelic::Agent::TransactionSampler#build_database_statement
  0.01      0.013     0.007     0.000     0.006     4228   NewRelic::Agent::TracedMethodStack#transaction_sampler
  0.01      0.052     0.007     0.000     0.045     2224   NewRelic::Agent::StatsEngine::MetricStats#coerce_to_metric_spec_array
  0.01      0.007     0.007     0.000     0.000    12942   String#hash
  0.01      0.007     0.007     0.000     0.000     2000   IO#ready?
  0.01      0.013     0.007     0.000     0.007     2236   Method#call
  0.01      0.007     0.007     0.000     0.000      210   Module#module_eval
  0.01      0.007     0.007     0.000     0.001      106   SystemCallError#initialize
  0.01      0.038     0.007     0.000     0.032     1001   Arel::SelectManager#initialize
  0.01      0.013     0.007     0.000     0.006     4012   <Class::ActiveRecord::Base>#connection_id
  0.01      0.011     0.007     0.000     0.005     2004   <Class::ActiveRecord::ConnectionAdapters::Column>#value_to_integer
  0.01      1.073     0.007     0.000     1.066     2000   Stomp::Connection#_transmit
  0.01      2.295     0.006     0.000     2.288     1001   <Class::ActiveRecord::Base>#find_by_sql_with_trace_ActiveRecord_self_name_find_by_sql
  0.01      0.006     0.006     0.000     0.000     5439   NewRelic::MetricSpec#eql?
  0.01      1.535     0.006     0.000     1.528     1007   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#exec_query
  0.01      0.006     0.006     0.000     0.000     1001   PG::Connection#escape
  0.01      0.083     0.006     0.000     0.077     1000   Hash#uncamelize_and_symbolize_keys
  0.01      0.006     0.006     0.000     0.000     6118   String#downcase
  0.01      0.038     0.006     0.000     0.032     4024   ActiveRecord::LogSubscriber#logger
  0.01      0.015     0.006     0.000     0.009     4230   Time#to_f
  0.01      0.012     0.006     0.000     0.006     1002   ActiveRecord::Sanitization::ClassMethods#sanitize_sql_for_conditions
  0.01      0.146     0.006     0.000     0.140     1006   <Class::ActiveRecord::Base>#relation
  0.01      0.006     0.006     0.000     0.000     7021   Mutex#lock
  0.01      0.006     0.006     0.000     0.000     9092   Kernel#respond_to_missing?
  0.01      0.006     0.006     0.000     0.000     1000   Thread#exit
  0.01      0.037     0.006     0.000     0.031     1009   NewRelic::Agent::TransactionSampler#notice_sql
  0.01      0.102     0.006     0.000     0.096     1006   ActiveRecord::QueryMethods#where
  0.01      0.019     0.006     0.000     0.013     4012   ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id
  0.01      0.006     0.006     0.000     0.000     3269   Hash#delete
  0.01      0.031     0.006     0.000     0.026     1002   ActiveRecord::Locking::Optimistic::ClassMethods#locking_enabled?
  0.01      0.008     0.006     0.000     0.002     3003   Arel::Visitors::ToSql#quote_table_name
  0.01      0.172     0.006     0.000     0.167     1001   ActiveRecord::DynamicMatchers#all_attributes_exists?
  0.01      0.006     0.006     0.000     0.000     4048   Fixnum#abs
  0.01      0.006     0.006     0.000     0.000     7249   Fixnum#fdiv
  0.01      2.333     0.006     0.000     2.327     1000   Stomp::Connection#open_tcp_socket
  0.01      1.124     0.006     0.000     1.118     1009   ActiveRecord::ConnectionAdapters::AbstractAdapter#log
  0.01      0.049     0.006     0.000     0.043     1000   Stomp::Client#start_listeners
  0.01      0.006     0.006     0.000     0.000     1003   String#squeeze
  0.01      0.006     0.006     0.000     0.000     4228   NewRelic::Agent::Agent::ClassMethods#instance
  0.01      0.024     0.006     0.000     0.019     1009   ActiveRecord::ExplainSubscriber#call
  0.01      0.083     0.006     0.000     0.077     4012   ActiveRecord::ConnectionAdapters::ConnectionPool#connection
  0.01      0.075     0.006     0.000     0.070     2009   Enumerable#to_a
  0.01      0.006     0.006     0.000     0.000     8590   Kernel#block_given?
  0.01     28.310     0.006     0.000    28.305     1000   Stomp::Client#create_connection
  0.01      0.154     0.006     0.000     0.148     4012   <Class::ActiveRecord::Base>#connection
  0.01      0.006     0.006     0.000     0.000     4518   NilClass#to_s
  0.01      0.008     0.005     0.000     0.002     2114   NewRelic::Agent::TracedMethodStack#fetch_matching_frame
  0.01      0.005     0.005     0.000     0.000     7301   Array#last
  0.01      0.021     0.005     0.000     0.015     2007   ActiveRecord::Relation#initialize_copy
  0.01      0.005     0.005     0.000     0.000       20   <Class::File>#file?
  0.01      0.005     0.005     0.000     0.000     2010   String#initialize
  0.01      0.005     0.005     0.000     0.000     1001   ActiveRecord::DynamicFinderMatch#initialize
  0.01      0.153     0.005     0.000     0.148     1009   NewRelic::Agent::MethodTracerHelpers#record_metrics
  0.01      0.008     0.005     0.000     0.003     2006   <Class::#<Class:0x007f2ddfe08ff8>>#new
  0.01      0.053     0.005     0.000     0.048     1002   <Class::ActiveRecord::ConnectionAdapters::Column>#new_time
  0.01      0.005     0.005     0.000     0.000     1001   Class#allocate
  0.01      0.044     0.005     0.000     0.039     2002   ActiveRecord::Relation#with_default_scope
  0.01      0.005     0.005     0.000     0.000     1007   PG::Result#fields
  0.01      0.012     0.005     0.000     0.007     3019   Time#minus_without_duration
  0.01      0.031     0.005     0.000     0.026     1002   <Class::Time>#time_with_datetime_fallback
  0.01      0.035     0.005     0.000     0.030     1001   ActiveRecord::DynamicMatchers#expand_attribute_names_for_aggregates
  0.01      0.050     0.005     0.000     0.045     1007   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#result_as_array
  0.01      0.005     0.005     0.000     0.000     4094   Hash#has_key?
  0.01      0.005     0.005     0.000     0.000    10027   PG::Result#ftype
  0.01      0.013     0.005     0.000     0.008     1012   NameError#initialize
  0.01      0.005     0.005     0.000     0.000     4021   Array#compact
  0.01      0.120     0.005     0.000     0.115     1002   <Class::ActiveRecord::ConnectionAdapters::Column>#string_to_time
  0.01      0.036     0.005     0.000     0.031     1001   ActiveRecord::QueryMethods#build_select
  0.01      0.033     0.005     0.000     0.028     1001   Arel::Visitors::ToSql#visit_Arel_Nodes_JoinSource
  0.01      0.005     0.005     0.000     0.000    10029   String#initialize_copy
  0.01      0.076     0.005     0.000     0.071     2001   Object#blank?
  0.01      0.023     0.005     0.000     0.018     1001   ActiveRecord::QueryMethods#collapse_wheres
  0.01      0.008     0.005     0.000     0.003     2026   NewRelic::Helper#correctly_encoded
  0.01      0.012     0.005     0.000     0.007     1006   ActiveRecord::Scoping::ClassMethods#current_scope
  0.01      0.005     0.005     0.000     0.000        2   File#initialize
  0.01      0.005     0.005     0.000     0.000     3021   Array#shift
  0.01      0.005     0.005     0.000     0.000     3007   <Module::Rails>#version
  0.01      0.006     0.005     0.000     0.001     1009   ActiveRecord::AttributeMethods#attribute_method?
  0.01      0.005     0.005     0.000     0.000     3002   BasicObject#==
  0.01      0.005     0.005     0.000     0.000     5451   Class#superclass
  0.01      0.005     0.005     0.000     0.000     2236   Array#drop
  0.01      0.005     0.005     0.000     0.000     1007   PG::Result#each_row
  0.01      0.005     0.005     0.000     0.000     3439   NewRelic::Agent#agent
  0.01      0.010     0.005     0.000     0.005     2002   ActiveRecord::Relation#eager_loading?
  0.01      0.015     0.005     0.000     0.010     1002   Object#acts_like?
  0.01      0.005     0.005     0.000     0.000     1001   Arel::Visitors::ToSql#visit_Arel_Nodes_Top
  0.01      0.005     0.005     0.000     0.000     2114   NewRelic::Agent::TracedMethodFrame#initialize
  0.01      0.010     0.005     0.000     0.005     1009   ActiveModel::AttributeMethods::ClassMethods#attribute_method_matcher
  0.01      0.011     0.004     0.000     0.006     1001   Arel::SelectManager#take
  0.01      0.212     0.004     0.000     0.207     1001   Array#collect!
  0.01     28.147     0.004     0.000    28.142     2000   Stomp::Connection#socket
  0.01      0.010     0.004     0.000     0.006     1001   <Module::Arel>#star
  0.01      0.004     0.004     0.000     0.000     7021   Mutex#unlock
  0.01      0.006     0.004     0.000     0.002     1130   Net::HTTPHeader#[]
  0.01      2.746     0.004     0.000     2.741     1001   ActiveRecord::FinderMethods#find_first
  0.01      0.011     0.004     0.000     0.006     1001   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#quote_string
  0.01      0.012     0.004     0.000     0.007     1009   NewRelic::Agent::Instrumentation::ActiveRecordHelper#remote_service_metric
  0.01      0.004     0.004     0.000     0.000     2006   Arel::Nodes::Binary#initialize
  0.01      1.838     0.004     0.000     1.834     1001   ActiveRecord::ConnectionAdapters::DatabaseStatements#select_all
  0.01      0.004     0.004     0.000     0.000     2222   Array#concat
  0.01      0.004     0.004     0.000     0.000     1003   ActiveRecord::LogSubscriber#odd?
  0.01      0.011     0.004     0.000     0.007     2000   Stomp::Connection#_is_ready?
  0.01      0.004     0.004     0.000     0.000     1001   Array#zip
  0.01      1.839     0.004     0.000     1.834     1000   Stomp::Client#close
  0.01      0.340     0.004     0.000     0.336     1001   ActiveRecord::ConnectionAdapters::DatabaseStatements#to_sql
  0.01      0.011     0.004     0.000     0.007     2002   Arel::Visitors::ToSql#table_exists?
  0.01     24.041     0.004     0.000    24.037     1000   Stomp::Connection#_receive
  0.01      0.077     0.004     0.000     0.073     1001   Arel::Visitors::ToSql#visit_Arel_Nodes_Equality
  0.01      0.004     0.004     0.000     0.000     6006   Fixnum#<=>
  0.01      0.661     0.004     0.000     0.657     1007   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#exec_no_cache
  0.01      0.043     0.004     0.000     0.040       74   Module#class_eval
  0.01      0.004     0.004     0.000     0.000     1000   Stomp::Connection#_headerCheck
  0.01      0.023     0.004     0.000     0.019     2002   Arel::Visitors::ToSql#column_cache
  0.01      0.023     0.004     0.000     0.019     1000   Time#compare_with_coercion
  0.01      0.017     0.004     0.000     0.013     1002   Time#in_time_zone
  0.01      0.004     0.004     0.000     0.000     3010   ActiveRecord::AttributeMethods::ClassMethods#attribute_methods_generated?
  0.01      0.013     0.004     0.000     0.010     2006   ActiveRecord::ConnectionAdapters::SchemaCache#table_exists?
  0.01      0.004     0.004     0.000     0.000     1002   ActiveSupport::TimeWithZone#initialize
  0.01      0.012     0.004     0.000     0.008     1000   Time#to_time
  0.01      0.064     0.004     0.000     0.060     2011   NewRelic::Agent::MethodTracerHelpers#trace_execution_scoped_header
  0.01      0.335     0.004     0.000     0.331     1001   Arel::Visitors::ToSql#accept
  0.01      0.005     0.004     0.000     0.001     1001   Arel::SelectManager#from
  0.01      0.015     0.004     0.000     0.012     1121   Hash#merge
  0.01      0.352     0.004     0.000     0.348     1009   ActiveSupport::Notifications::Fanout#publish
  0.01      0.004     0.004     0.000     0.000     3027   Float#<
  0.01      0.014     0.004     0.000     0.010     2067   ActiveRecord::AttributeMethods::PrimaryKey::ClassMethods#primary_key
  0.01      0.005     0.004     0.000     0.001     1000   Item(id: integer, uri: string, handle: string, primary_text_path: string, annotation_path: string, collection_id: integer, created_at: datetime, updated_at: datetime, indexed_at: datetime, json_metadata: text)#_run__476439040102310231__find__994223610345956082__callbacks
  0.01      0.007     0.004     0.000     0.003     1000   Time#<=>
